review,Sentiment
Amazed by the swift and productive telephone customer service @santanderuk made my day.,POSITIVE
"Tony Robbins, Dean Graziosi &amp; Russell Brunson GO LIVE! https://t.co/IvjnQtOqUU",NEUTRAL
"I am growing increasingly concerned . I switched to NatWest on 30th November from Santander but on the 2nd and 3rd December 2 refunds took place and went into the old account. These have not yet appeared in my NatWest account and I am getting passed around so much. Another refund of Â£85 has just now gone through too due to cancellation and another of Â£129 will be going through today as well and can only go to original payment method, so that will be 4 refunds coming to around Â£250 total and Iâ€™ve no idea where that money is! Please can I have an email address to contact as getting nowhere on phone ",NEGATIVE
"Want to write my childrens book. Need to ask for help funding it for the program, about 7500 plus an illustrator... so probably close to 10k.",NEUTRAL
Transferred money over from another account. Money completely disappeared. Can you advise?,NEGATIVE
"✔An extraordinary message from Dr John Demartini for the Brainstorm Strategy entrepreneurship community.

↪We are h… https://t.co/pJw8emnzok",POSITIVE
"@Uber_Support I keep getting the same response from the email lol. What a garbage company, I'm going to make sure mâ€¦ https://t.co/JBPfBj5HlE",NEGATIVE
Strong habits are the absolute foundation of success ?,POSITIVE
"My app crashes every single time I try to make a payment, has been doing this for weeks.",NEGATIVE
"I am determined to build my Coaching career, my Training Academy and building Greatness Of All to the go to inspiration & motivation platform in South Africa. ???????",NEUTRAL
Great help.. ðŸ‘Œ,POSITIVE
@NatWest_Help Thanks for the speedy reply! Itâ€™s 07971 959770.,POSITIVE
"RT @nikkiviljoen: ""The more you are grateful for what you have the more you will get to be grateful for."" Dr. John Demartini #ThinkBIGSunda",NEUTRAL
"HSBC's treatment of their business customers is abolutley shocking, I have been with the bank for 6 and half years running a small but profitable limited company, all of a sudden my accounts are all frozen, after spending a full day on hold nobody would tell me why, 5 days later I receive a letter saying the account is going to be shut down, no explanation as to why and I can't even get in touch with anyone to find out what is going on. This treatment is absolutley disgusting, they have crippled my business for no good reason. I run a small online company and can think of no reason why my account should be closed down. I would advise anyone thinking of opening an account with HSBC to think twice before they do, a simple search online will highlight the fact that I am not the only one who has had their business account closed without warning, HSBC have closed down hundreds of business accounts in the UK without warning or explanation, sort it out HSBC ",NEGATIVE
"Nopety, Nope, Nope, Nope.",NEGATIVE
@LeedsTransLad @StopFundingHate @LloydsBank @triodosuk is a good choice. I have just opened an account. Itâ€™s an on line bank based in Bristol and ethical.,POSITIVE
"Ripple up ~2x from thread starting. I suppose a true utility coin would outlast its corrupt leadership. $XRP 

Stil https://t.co/cIrDKdzpnw",NEGATIVE
"Stay committed to your decisions, but stay flexible in your approach. - Tony Robbins #entrepreneur",NEUTRAL
I just want to leave home.,NEUTRAL
"Money without meaning leads to debauchery and money with meaning leads to philanthropy. - Dr John Demartini shares his wealth wisdom in part two of our interview on this latest episode of The Wealth Faculty. ?

?? Tune in here ??
https://t.co/jCRSicpRxV https://t.co/Gm3gTPtutb",POSITIVE
@UoSLaunch @salfordbizsch Thank you @santanderuk #santanderuniuk for funding our internship program! With your grant we were able to give valuable experience to our intern @ClauSava10 https://t.co/ibQUptjJj3,POSITIVE
"Shout out to @HollyLTucker founder of @notonthehighst &amp; Holly &amp; Co, who in partnership with NatWest runs #ConversationsofInspiration, a podcast designed to share advice &amp; inspiration for business, celebrating their 100th episode this week! 

Find out more:
https://t.co/Q1MX5KiiPH https://t.co/eqtpdKq5CV",POSITIVE
"@UberINSupport @prabhjeet_s @travisk @PrParameswaran Not disclosing the destination leads to trip cancellation

Why… https://t.co/kXLiCYLlIy",NEGATIVE
Hopeless state of affairs.my business is suffering as a result of your inability to provide  a basic service. Pin number not arrived after nearly two weeks. garbage,NEGATIVE
Knowledge Business Blueprint (KBB) - Dean Graziosi https://t.co/n4CiaPPJ1O,NEUTRAL
Your words are welcome to heal us.... Thank so much for your deepest and biggest contribution to humankind by providing it your wisdom.,POSITIVE
""" Set yourself some type of reward for doing well in life and for doing your best on all occasions. This can transf… https://t.co/6fWKqO8j1k",NEUTRAL
"Weâ€™re pleased to announce weâ€™ll be hosting a masterclass with leading entrepreneur; Dr. John Demartini, star of theâ€¦ https://t.co/LLZtpjvBcF",NEUTRAL
"RT @Mwizu_kanji: Whatever we think about and thank about we bring about.

Dr. John Demartini",NEUTRAL
@UberINSupport @prabhjeet_s @travisk @PrParameswaran The complaint form has no section to report the drivers who don’t undertake trips,NEGATIVE
I've done this but I need more juice. I am still afraid to go All in.,NEUTRAL
"“I worked so hard, and have so much failure in doing so; that it makes me the non luckiest entrepreneur, I’d go up… https://t.co/ziR0S5mjfq",NEUTRAL
I was really inspired by Dr John Demartini’s seminar at the Bloomsbury last evening and this thought provoking quot… https://t.co/Oo9rauNnoK,POSITIVE
Applied for Bounce Back Loan over 2 months ago and still waiting to get even a reply!! Any attempt to get information has been ignored. HSBC is definitely not the bank when it comes to small business support !!,NEGATIVE
Thank you for sharing this critical information.,POSITIVE
New To Market | Tony Robbins Knowledge Business Blueprint: Create Your Successful Mastermind. Hosts: Tony Robbins D https://t.co/LwxE4wGsow,NEUTRAL
Tony Robbins is prepared to become a part-owner of a NASCAR team https://t.co/JxtGlUxfis,NEUTRAL
@travisk what’s up with @Uber @Uber_Support stealing people money? #fuckuber #uberstealsmoney @Twitter @CNN @FoxNews,NEGATIVE
Why has it taken you all this time to bring it up are you that short on publicity,NEGATIVE
"With interest rates as they are, thereâ€™s no point or insensitive to save.  Iâ€™ve even heard rumours about NEGATIVE interest rates which would mean we have to PAY the bank to store our money ðŸ˜³",NEGATIVE
@travisk Uber is failing its transition to electric vehicles. The app is clearly structured for fossil fuel vehicle https://t.co/7wAfkHE7A0,NEGATIVE
"We're delighted that Score Group has been included in The Sunday Times HSBC International Track 200 league table.

https://t.co/PCL2YhSxJc

#ScoreGroup #HSBCIntTrack200 #valves #fuelsystems #components #manufacturer https://t.co/9P0AVmi3h8",POSITIVE
RT @muz4now: A quality life demands quality questions. - Dr. John Demartini #ThankfulThursday https://t.co/Z1AQa0RKvR,NEUTRAL
"@LloydsBank good evening, I have sent you a DM, please help. Thank you",POSITIVE
"For more protection against fraud, don't use HSBCs online banking and don't trust their incompetent fraud department that blocks your transactions but allows fraudulent transactions and does nothing because they expect you to know all about it",NEGATIVE
Terrible customer service!! Impossible to get through to a human being! 2hrs on hold and basically an online chat with a robot dishing out automated responses and copy and pasting rubbish.,NEGATIVE
"@eddiemulh Hello Eddie, we appreciate you sharing this! Can you send it to phishing@hsbc.co.uk , and delete it after and thanks for helping us stop scams. These text messages can be so annoying from the scammers. Keep your information safe at all times ðŸ‘ ^Ank.",POSITIVE
"I bank with Santander, but opened a basic account as an executor account with HSBC at the branch where my dad banked. I have a secure key to log on, but every time I try to pay beneficiary's they stop the payment and suspend the account. I did talk with them over the phone, explained everything AND GUESS WHAT THEY SUSPENDED THE ACCOUNT AGAIN! Infuriating...this time told to go to the branch, which of course is closed. Would never had had this problem if I had put the money in my Santander account.",NEGATIVE
RT @NIGHTRUN51: @timothysykes Watched the interview with Dean Graziosi. I get pumped whenever he starts talking. Awesome video! Other peopl…,POSITIVE
ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘,NEUTRAL
"@sarthakgh This is where I was particularly grateful for @travisk and @jeffholden's early leadership in enforcing ""… https://t.co/kbze1Jml9B",POSITIVE
"Apologies for my english ðŸ‘Buth i'm the customer for 4 years  on Natwest I tried too apply for business acount For Solo trader Self employment and they give me decline I don't recommend i closed all acount from Natwest i give you NEGATIVE feedback 
Apologies again for my englishðŸ˜ŠðŸ‘ðŸ‘ðŸ‘",NEGATIVE
Este banco es uno de los mÃ¡s fraudulentos de Inglaterra a. Mi me estafaron en 250 mil dÃ³lares le pedÃ­ ayuda pues la estafa era con ellos hasta el dÃ­a de hoy solo me responden que haga los reclamos en inglÃ©s que insÃ³lito son tan estafadores como los que me estafaron,NEGATIVE
@travisk @LuminousAI Rot in hell SOB,NEGATIVE
"@tammyerickson - the rules of the game are changing. â€œHave a growth mindset. Looking at a problem not as a NEGATIVE but an opportunity for creativity.â€ 

How do we put things together in new ways and move forward? Good nightðŸŒƒ @thesportingedge @santanderuk #SantanderUniGrowth",POSITIVE
Happy Motherâ€™s Day Sage. You are an inspiration to so many of us. Enjoy your first of many days that celebrate moms!,POSITIVE
Mindvalley I have everything nothing else to decide.,NEUTRAL
RT @ClaudioGT: A quality life demands quality questions. - Dr. John Demartini #quote #ThankfulThursday https://t.co/9J9iRKXMQt,NEUTRAL
FRAUD on my business account. 3 hours on hold for 3 consecutive days. No attempt to resolve.,NEGATIVE
"â€œKnow that youâ€™ve mastered your life, When the voice and the vision on the inside become more profound, clear and lâ€¦ https://t.co/nXNCVCheV6",NEUTRAL
Calling you since July to solve my online security settings...and still not working. It's a joke. Definitely changing this bank asap,NEGATIVE
@Breedlove22 You are becoming the Tony Robbins of #Bitcoin (lookswise) lol and passion and brilliance of course. Sending all my support.,NEUTRAL
"No they are not, 45 mins and I still canâ€™t get through !!!! 2 weeks now Iv been trying to get through to the business disputes team. Asked for callback never got one. Iv filled a form in heard nothing. Everytime Iv called Iv been waiting an hour to get through this is not just today it has been everyday for past 2 weeks. Itâ€™s not acceptable will someone call me back",NEGATIVE
@CV_UHB @santanderuk @relaxkids Thank you for the donations. This week treats and well-being bags  were sent into UHW &amp; Llandough. #NHS #kindness https://t.co/Bs1uMMy9nq,POSITIVE
@smdcapital @TrungTPhan @travisk ...Built a couple biz too.,NEGATIVE
"Tony Robbins and Dean Graziosi are such amazing mentors!

#kbbmethod https://t.co/Yk9NTQJa3u",POSITIVE
Iâ€™ll be leaving soon as I can. Really bad bank from the time I switched to them,NEGATIVE
@Uber_Support @travisk @travisk ALERT UR PUPPET CEO @dkhos,NEGATIVE
"@travisk Mister Travis
I send you from Cairo.
There is a disaster in Uber because of the support staff and their t https://t.co/7W2pogcIE1",NEGATIVE
"HSBC customer service is quite frankly disgusting at the moment. Organisations have had 7 months to put measures in place and yet still appallingly slow service is being blamed on COVID-19. Last week took 6 attempts to obtain a redemption statement, by the time it was finally sent the expiry date meant not enough time to complete on a new mortgage so back to square one. New one requested on 24th, here we are 6 days later and still no sign of it. Not good enough.",NEGATIVE
"I have been asking for HSBC to resolve an issue since Friday. I have been on phone all day today on hold.  Shocking service. I have lost business because of it.  Am still on hold now, waiting to speak to a ""manager"" who said she would call back 2  hours ago.",NEGATIVE
HSBC telephone banking is an appsalupely useless service its not fit for purpose I think the advisors have fell asleep on the other end of the line.,NEGATIVE
"Tony Robbins, Dean Graziosi &amp; Russell Brunson LIVE! https://t.co/ipjh4DXEWZ via @YouTube",NEUTRAL
I resolved to succeed and do what it takes to achieve positive changes in my life regardless of circumstances. I will be outstanding!,NEUTRAL
This bank is the worst bank in the UK I have opened this bank for seven months but so far I am deprived of all services despite the fact that I have dealt with the bank's rules and now I think through my request i will make a big complain on the manager of this bank in Piccadilly,NEGATIVE
"@TonyRobbins I specially welcome you to the month of June, your month of unending praise for the victories you will experience in all areas of ur life. I wish you a happy super fantastic new month",NEUTRAL
On this Monday I am thankful for aged Barclays linked to Luno ðŸ™,POSITIVE
"I like this new youðŸ˜„ It suite you really good , now days ðŸ˜‚â¤ï¸ðŸ‘Œ",POSITIVE
"Dr John Demartini, well, he was worth the wait. I've heard a lot about him and tonight my son and I have experience… https://t.co/VK0t5gNZ6e",POSITIVE
Unless you have goals beyond your life you probably won't get a life'- Dr John Demartini #quote https://t.co/KRUrr715Y0,NEUTRAL
"We book UBER, Receive call from Driver on Uber app ( Can't be recorded ), Driver ask about Destination.Passes by fr https://t.co/X96A616UoE",NEGATIVE
"The thrashed Negroni: put 3/4 of Coffee liqueur. Add 1/2 of Champagne, and 1/4 of sour mix. Add ice. 
Gulp it like @travisk.

Proost !",NEUTRAL
"@travisk Mister Travis
I send you from Cairo.
 There is a disaster in Uber because of the support staff and their tâ€¦ https://t.co/Z5iDk2THSE",NEGATIVE
"@FSFmoney I definitely use audio for podcasts way more often. The last two books I read via audio were The Thank You Economy by @garyvee and Unshakeable by @TonyRobbins 

Author narration was awesome",POSITIVE
"@travisk Hi boss. I do not know why you are so helpfull but your workers in uber are On the contrary, they make difâ€¦ https://t.co/x0aZERajSn",NEGATIVE
Very nice of you to care so much. What a shame your customer service is so useless. Always passing the buck and always refering you back to the telephone rather than on line chat. Disgusting attitude to genuine concerns. Still waiting for a letter sent 3 weeks ago and reminded you but STILL no letter or answer fro. Customer. care. You have even paid money into my account yet wont tell me why it break down the details. So  So shoddy and uncaring,NEGATIVE
I want to tell you that the Mastermind program put together by Dean Graziosi and Tony Robbins is the absolute BEST https://t.co/iE8VV7LUK3,POSITIVE
RT @introbiz: ?? Star of The Secret and Global entrepreneur; Dr John Demartini is flying to Cardiff for our Networking Breakfast. It's going,NEUTRAL
2 months to open a Business Account !? and still it is not open; no one can inform me how much longer; do you seriously want me to go to Barclays Bank ?,NEGATIVE
