,review,Sentiment,words_entity_spacy,words_entity_bert
0,Amazed by the swift and productive telephone customer service @santanderuk made my day.,POSITIVE,"[('@santanderuk', 'Countries, cities, states')]",[]
1,"Tony Robbins, Dean Graziosi &amp; Russell Brunson GO LIVE! https://t.co/IvjnQtOqUU",NEUTRAL,"[('Tony Robbins', 'People, including fictional'), ('Dean Graziosi &', 'Companies, agencies, institutions, etc.'), ('Russell Brunson', 'People, including fictional')]","[('Tony', 'B-PER'), ('Robbins', 'I-PER'), ('Dean', 'B-PER'), ('G', 'I-PER'), ('##raz', 'I-PER'), ('##ios', 'I-PER'), ('Russell', 'B-PER'), ('B', 'I-PER'), ('##run', 'I-PER'), ('##son', 'I-PER')]"
2,"I am growing increasingly concerned . I switched to NatWest on 30th November from Santander but on the 2nd and 3rd December 2 refunds took place and went into the old account. These have not yet appeared in my NatWest account and I am getting passed around so much. Another refund of Â£85 has just now gone through too due to cancellation and another of Â£129 will be going through today as well and can only go to original payment method, so that will be 4 refunds coming to around Â£250 total and Iâ€™ve no idea where that money is! Please can I have an email address to contact as getting nowhere on phone ",NEGATIVE,"[('NatWest', 'Companies, agencies, institutions, etc.'), ('30th November', 'Absolute or relative dates or periods'), ('Santander', 'People, including fictional'), ('the 2nd', 'Absolute or relative dates or periods'), ('3rd', '""first"", ""second"", etc.'), ('December 2', 'Absolute or relative dates or periods'), ('NatWest', 'Companies, agencies, institutions, etc.'), ('today', 'Absolute or relative dates or periods'), ('4', 'Numerals that do not fall under another type'), ('Iâ€', 'Countries, cities, states')]","[('Nat', 'B-ORG'), ('##W', 'I-ORG'), ('##est', 'I-ORG'), ('Santa', 'B-LOC'), ('##nder', 'I-LOC'), ('Nat', 'B-ORG'), ('##W', 'I-ORG'), ('##est', 'I-ORG'), ('Â', 'B-MISC'), ('Â', 'B-MISC'), ('Â', 'B-MISC')]"
3,"Want to write my childrens book. Need to ask for help funding it for the program, about 7500 plus an illustrator... so probably close to 10k.",NEUTRAL,"[('about 7500', 'Numerals that do not fall under another type'), ('close to 10k', 'Numerals that do not fall under another type')]",[]
4,Transferred money over from another account. Money completely disappeared. Can you advise?,NEGATIVE,[],[]
5,"✔An extraordinary message from Dr John Demartini for the Brainstorm Strategy entrepreneurship community.

↪We are h… https://t.co/pJw8emnzok",POSITIVE,"[('John Demartini', 'People, including fictional')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER'), ('Brain', 'B-ORG'), ('##storm', 'I-ORG'), ('Strategy', 'I-ORG')]"
6,"@Uber_Support I keep getting the same response from the email lol. What a garbage company, I'm going to make sure mâ€¦ https://t.co/JBPfBj5HlE",NEGATIVE,"[('¦', 'People, including fictional')]","[('U', 'B-ORG'), ('##ber', 'I-ORG'), ('_', 'I-ORG'), ('Support', 'I-ORG')]"
7,Strong habits are the absolute foundation of success ?,POSITIVE,[],[]
8,"My app crashes every single time I try to make a payment, has been doing this for weeks.",NEGATIVE,"[('weeks', 'Absolute or relative dates or periods')]",[]
9,"I am determined to build my Coaching career, my Training Academy and building Greatness Of All to the go to inspiration & motivation platform in South Africa. ???????",NEUTRAL,"[('Coaching', 'Objects, vehicles, foods, etc. (not services)'), ('Training Academy', 'Companies, agencies, institutions, etc.'), ('Greatness Of All', 'Companies, agencies, institutions, etc.'), ('inspiration & motivation', 'Companies, agencies, institutions, etc.'), ('South Africa', 'Countries, cities, states')]","[('Training', 'B-ORG'), ('Academy', 'I-ORG'), ('Great', 'B-MISC'), ('Of', 'I-MISC'), ('All', 'I-MISC'), ('South', 'B-LOC'), ('Africa', 'I-LOC')]"
